Film name,keywords
10 Things I Hate About You,tình yêu. câu chuyện tình yêu
After ,tình cảm. câu chuyện tình yêu. tình yêu
500 Days of Summer,bộ phim tình cảm. tình cảm. cảm động
Aashiqui,tình yêu. tình cảm
Aashiqui 2,tình cảm. câu chuyện tình yêu. tình yêu
About Time,bộ phim tình cảm. tình cảm
Across the Universe,tình cảm
An Affair to Remember,tình yêu. tình yêu đích thực
The Age of Adaline,tình yêu. tình yêu đích thực
The Age of Innocence,tình cảm. tình yêu
All That Heaven Allows,tình yêu. tình cảm
Amelie,tình cảm
Angel Eyes,tình cảm. cảm động
Annie Hall,tình yêu
An Officer and a Gentleman,buồn
The Anonymous Venetian,
The Artist,tình yêu
At Cafe 6,bộ phim tình cảm. tình cảm
Autumn in New York,câu chuyện tình yêu. tình yêu. cảm động
Band Baaja Baaraat,tình yêu. tình cảm
Be Together,buồn
Beautiful Thing,tình yêu
Beauty and the Beast,câu chuyện tình yêu. tình yêu
Before Midnight,tình yêu. bộ phim tình cảm. tình cảm. cảm động
Before Sunrise,tình yêu. tình yêu đích thực
Before Sunset,tình yêu. tình cảm
The Beloved,tình cảm. rất xúc động. tình yêu
The Best of Me,tình yêu
Beyond Borders,tình yêu. bộ phim tình cảm. tình cảm
Beyond the Lights,câu chuyện tình yêu. tình yêu
Big Red Envelope,
Bitter Love,tình yêu
Blue is the Warmest Colour,bộ phim tình cảm. tình cảm. cảm xúc
Blue Valentine,tình yêu. tình cảm
Blood Ransom,tình cảm
Bobby,bộ phim tình cảm. tình cảm
Bounce,cảm xúc. tình cảm
The Break-up Season,tình cảm
Breakfast at Tiffany's,bộ phim tình cảm. tình cảm. cảm động
The Bridges of Madison County,tình cảm
Brief Encounter,cảm xúc. chạm vào trái tim
Brokeback Mountain,câu chuyện tình yêu. tình yêu
Call Me by Your Name (film),cảm xúc. tình yêu
Camille,cảnh tình yêu. tình yêu. cảm động
Casablanca,tình yêu. bộ phim tình cảm. tình cảm
Charlie St. Cloud,tình yêu
Chandani,bản tình ca
Cherish in Love,
The Choice,buồn
City Lights,câu chuyện tình yêu. tình yêu. cảm động
City of Angels,tình cảm
Close Range Love,tình yêu. cảm xúc. tình yêu đích thực
Closer,tình cảm. kỷ niệm. tình yêu. tình yêu đích thực
Crazy Rich Asians,cảm xúc. tình yêu
Dawn Break Up,bộ phim tình cảm. tình cảm
Dear John,tình yêu. tình yêu đích thực
Devdas,khóc. tình yêu
Different from the Others,tình yêu
Dil Se..,bộ phim tình cảm. tình cảm. rất đặc biệt
Dil To Pagal Hai,tình yêu
Dilwale Dulhania Le Jayenge,tình cảm. tình yêu
Dirty Dancing,tình yêu
Dirty Dancing: Havana Nights,tình yêu. chạm vào trái tim
Doctor Zhivago,tình yêu
Dying Young,tình yêu. tình yêu đích thực. tình cảm. ấn tượng mạnh mẽ
The Earrings of Madame de...,cảm xúc
Edward Scissorhands,tình yêu. tình cảm
Elemental,cảm xúc. tình cảm
Endless Love,tình cảm
Endless Love,tình yêu. tình yêu đích thực
The Eighth House,tình cảm. kỷ niệm. mối tình
Embrace Again,tình yêu. tình yêu đích thực
The English Patient,cảm động. tình yêu
Eternal Sunshine of the Spotless Mind,tình yêu. tình yêu đích thực. mối tình
Ex Fighting,cảm xúc
Fall in Love Like a Star,bộ phim tình cảm. tình cảm
Falling In Love,câu chuyện tình yêu. tình yêu
Fanaa,khóc. cảm xúc. tình yêu
The Fault in Our Stars,câu chuyện tình yêu. tình yêu. tình yêu đích thực
Fifty Shades of Grey,tình yêu. mối tình
Five Minutes to Tomorrow,tình yêu. tình cảm
Fleet of Time,tình yêu. bật khóc. khóc
Flower's Curse,tình yêu. câu chuyện tình yêu
Forever Love,cảnh tình yêu. tình yêu
Forever Young,tình cảm. ấn tượng mạnh mẽ
Forget All Remember,kỷ niệm. tình cảm
Friends with Benefits,tình yêu. tình yêu đích thực. khóc
From Prada to Nada 2011,tình yêu
Fitoor,tình cảm. tình yêu
Five Feet Apart,bộ phim tình cảm. tình cảm. tình yêu
The Glass Mountain,câu chuyện tình yêu. tình yêu
Gone with the Wind,tình yêu
The Goodbye Girl,tình yêu. tình yêu đích thực
Griffin and Phoenix,
Griffin & Phoenix,câu chuyện tình yêu. tình yêu. cảnh tình yêu
Hanamizuki,tình yêu. khóc
Here on Earth (film),tình yêu. tình yêu đích thực. mối tình
Holiday,tình yêu
Hello,tình yêu. bộ phim tình cảm. tình cảm. cảm động
